"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","GET запросы","Негативные сценарии","0","0","1","0","0"
"","POST запросы","Отправка form-data","0","0","1","0","0"
"","POST запросы","Загрузка файлов","0","0","1","0","0"
"","GET запросы","Базовые GET запросы","0","0","1","0","0"
"","POST запросы","Отправка данных в JSON формате","0","0","1","0","0"
"","POST запросы","Пользовательские заголовки","0","0","1","0","0"
